"URI","ImageWidth","Type","Priority","Caption","Taxon","Character","State"
"resources/wing/medial.png","100%","image-local",,"Longitudinal features",,"Medial",
"resources/wing/medial.png","100%","image-local",,"Longitudinal features",,"Medial_Stigmata",
"resources/wing/subdorsal.png","100%","image-local",,"Longitudinal features",,"Subdorsal",
"resources/wing/subdorsal.png","100%","image-local",,"Longitudinal features",,"Subdorsal_Stigmata",
"resources/wing/dorsal.png","100%","image-local",,"Longitudinal features",,"Dorsal",
"resources/wing/dorsal.png","100%","image-local",,"Longitudinal features",,"Dorsal_Stigmata",
,,,,,,,
"#Taxon Images",,,,,,,
"resources/taxon_images/Very_Lo-Res-Orthosia_cerasi-1.jpg","100%","image-local",,"73.244 Orthosia cersasi (Common Quaker)","Orthosia cerasi",,
"resources/taxon_images/Very_Lo-Res-Orthosia_gothica-1.jpg","100%","image-local",,"73.249 Orthosia gothica (Hebrew Character)","Orthosia gothica",,
"resources/taxon_images/Very_Lo-Res-Orthosia_incerta-1.jpg","100%","image-local",,"73.242 Orthosia incerta (Clouded Drab)","Orthosia incerta",,
"resources/taxon_images/Very_Lo-Res-Selenia_dentaria-1.jpg","100%","image-local",,"70.237 Selenia dentaria (Early Thorn)","Selenia dentaria",,
"resources/taxon_images/Very_Lo-Res-Anticlea_badiata-1.jpg","100%","image-local",,"70.066 Anticlea badiata (Shoulder Stripe)","Anticlea badiata",,
"resources/taxon_images/Lo-Res_Lycia hirtaria---1.jpg","100%","image-local",,"Lycia hirtaria","Lycia hirtaria",,
"resources/taxon_images/Lo-Res_Chloroclysta_siterata .jpg","100%","image-local",,"Chloroclysta siterata","Chloroclysta siterata",,
"resources/taxon_images/Lo-Res_Calliteara pudibunda-1.jpg","100%","image-local",,"Calliteara pudibunda","Calliteara pudibunda",,
"resources/taxon_images/Very_Lo-Res-Phlogophora_meticulosa-1.jpg","100%","image-local",,"73.113 Phlogophora meticulosa (Angle Shades)","Phlogophora meticulosa",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"# Taxon HTML files…",,,,,,,
"#resources/stigmella_aurella.html",,"html-local",,"More Info","Stigmella aurella",,
"#resources/narycia_monilifera.html",,"html-local",,"More Info","Narycia monilifera",,
